SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,FacultyAttendance
ORCHARD VALLEY MIDDLE SCHOOL,15,5500,50,GLOUCESTER,WASHINGTON TWP,94
WEDGWOOD ELEMENTARY SCHOOL,15,5500,60,GLOUCESTER,WASHINGTON TWP,94
WHITMAN ELEMENTARY SCHOOL,15,5500,70,GLOUCESTER,WASHINGTON TWP,95
Wenonah Elementary School,15,5590,50,GLOUCESTER,WENONAH BORO,97
West Deptford High School,15,5620,50,GLOUCESTER,WEST DEPTFORD TWP,96
Green-Fields Elementary School,15,5620,70,GLOUCESTER,WEST DEPTFORD TWP,90
Oakview Elementary School,15,5620,100,GLOUCESTER,WEST DEPTFORD TWP,95
Red Bank Elementary School,15,5620,111,GLOUCESTER,WEST DEPTFORD TWP,94
West Deptford Middle School,15,5620,130,GLOUCESTER,WEST DEPTFORD TWP,96
Parkview Elementary School,15,5740,40,GLOUCESTER,WESTVILLE BORO,97
Woodbury Jr-Sr High School,15,5860,50,GLOUCESTER,WOODBURY CITY,0
Evergreen Avenue Elementary School,15,5860,90,GLOUCESTER,WOODBURY CITY,0
Walnut Street School,15,5860,100,GLOUCESTER,WOODBURY CITY,0
West End Memorial Elementary School,15,5860,110,GLOUCESTER,WOODBURY CITY,0
Woodbury Heights Elementary,15,5870,50,GLOUCESTER,WOODBURY HEIGHTS BORO,97
Bayonne High School,17,220,20,HUDSON,BAYONNE CITY,93
Dr. Walter F. Robinson #3,17,220,30,HUDSON,BAYONNE CITY,97
John M. Bailey #12,17,220,40,HUDSON,BAYONNE CITY,96
Henry E. Harris #1,17,220,50,HUDSON,BAYONNE CITY,96
Horace Mann #6,17,220,60,HUDSON,BAYONNE CITY,95
Lincoln Community School #5,17,220,70,HUDSON,BAYONNE CITY,96
Mary J. Donohoe #4,17,220,80,HUDSON,BAYONNE CITY,97
Midtown Community School #8,17,220,85,HUDSON,BAYONNE CITY,97
Philip G. Vroom #2,17,220,90,HUDSON,BAYONNE CITY,96
Washington Community School #9,17,220,120,HUDSON,BAYONNE CITY,97
Woodrow Wilson #10,17,220,130,HUDSON,BAYONNE CITY,97
Nicholas Oresko #14,17,220,140,HUDSON,BAYONNE CITY,98
East Newark Public School,17,1200,50,HUDSON,EAST NEWARK BORO,95
ANNA L. KLEIN,17,1850,50,HUDSON,GUTTENBERG TOWN,100
Harrison High School,17,2060,50,HUDSON,HARRISON TOWN,97
Lincoln Elementary School,17,2060,60,HUDSON,HARRISON TOWN,95
Hamilton Intermediate School,17,2060,61,HUDSON,HARRISON TOWN,96
Washington Middle School,17,2060,70,HUDSON,HARRISON TOWN,95
Hoboken Junior Senior High School,17,2210,5,HUDSON,HOBOKEN CITY,97
Joseph F Brandt School,17,2210,50,HUDSON,HOBOKEN CITY,97
Salvatore R. Calabro,17,2210,63,HUDSON,HOBOKEN CITY,98
Thomas G. Connors,17,2210,65,HUDSON,HOBOKEN CITY,98
Wallace Elementary School,17,2210,70,HUDSON,HOBOKEN CITY,97
County Prep High School,17,2295,30,HUDSON,HUDSON COUNTY VOCATIONAL,97
High Tech High School,17,2295,50,HUDSON,HUDSON COUNTY VOCATIONAL,98
Explore 2000 Middle School,17,2295,90,HUDSON,HUDSON COUNTY VOCATIONAL,96
Knowledge Advanced Skills,17,2295,301,HUDSON,HUDSON COUNTY VOCATIONAL,99
Academy of Technology Design,17,2295,304,HUDSON,HUDSON COUNTY VOCATIONAL,97
Bayonne Academy,17,2295,305,HUDSON,HUDSON COUNTY VOCATIONAL,100
Infinity Institute,17,2390,2,HUDSON,JERSEY CITY,97
Regional Day School,17,2390,11,HUDSON,JERSEY CITY,96
Henry Snyder High School,17,2390,50,HUDSON,JERSEY CITY,96
James J Ferris High School,17,2390,60,HUDSON,JERSEY CITY,94
Lincoln High School,17,2390,70,HUDSON,JERSEY CITY,95
Dr Ronald McNair High School,17,2390,75,HUDSON,JERSEY CITY,96
William L Dickinson High School,17,2390,80,HUDSON,JERSEY CITY,95
Liberty High School,17,2390,82,HUDSON,JERSEY CITY,96
Academy I,17,2390,95,HUDSON,JERSEY CITY,95
Frank R Conwell School,17,2390,100,HUDSON,JERSEY CITY,96
Middle School # 4,17,2390,105,HUDSON,JERSEY CITY,93
Dr. Michael Conti School,17,2390,110,HUDSON,JERSEY CITY,96
Charles E. Trefurt School,17,2390,120,HUDSON,JERSEY CITY,95
Martin Luther King Jr. School,17,2390,140,HUDSON,JERSEY CITY,96
Julia A. Barnes School,17,2390,150,HUDSON,JERSEY CITY,95
Franklin L. Williams School,17,2390,155,HUDSON,JERSEY CITY,96
Ollie Culbreth Jr. School,17,2390,160,HUDSON,JERSEY CITY,94
Whitney M. Young Jr. School,17,2390,170,HUDSON,JERSEY CITY,95
PS # 20,17,2390,190,HUDSON,JERSEY CITY,96
Rev. Dr. Ercel F. Webb School,17,2390,200,HUDSON,JERSEY CITY,96
Mahatma K. Gandhi School,17,2390,210,HUDSON,JERSEY CITY,95
Chaplain Charles Watters School,17,2390,220,HUDSON,JERSEY CITY,96
Nicolaus Copernicus School,17,2390,230,HUDSON,JERSEY CITY,95
Alfred Zampella School,17,2390,240,HUDSON,JERSEY CITY,96
Christa McAuliffe School,17,2390,250,HUDSON,JERSEY CITY,96
Gladys Nunery School,17,2390,260,HUDSON,JERSEY CITY,97
Anthony J. Infante School,17,2390,265,HUDSON,JERSEY CITY,96
PS # 33,17,2390,270,HUDSON,JERSEY CITY,95
PS # 34,17,2390,280,HUDSON,JERSEY CITY,95
Rafael de J. Cordero School,17,2390,300,HUDSON,JERSEY CITY,96
Alexander D. Sullivan School,17,2390,320,HUDSON,JERSEY CITY,95
Dr. Charles P. DeFuccio School,17,2390,330,HUDSON,JERSEY CITY,94
Cornelia F. Bradford School,17,2390,340,HUDSON,JERSEY CITY,96
Ezra L. Nolan School,17,2390,345,HUDSON,JERSEY CITY,94
Martin Center for the Arts,17,2390,347,HUDSON,JERSEY CITY,96
James F. Murray School,17,2390,350,HUDSON,JERSEY CITY,94
Joseph H. Brensinger School,17,2390,360,HUDSON,JERSEY CITY,95
Jotham W. Wakeman School,17,2390,370,HUDSON,JERSEY CITY,96
Kearny High School,17,2410,50,HUDSON,KEARNY TOWN,94
Franklin Elementary School,17,2410,70,HUDSON,KEARNY TOWN,95
Garfield Elementary School,17,2410,80,HUDSON,KEARNY TOWN,94
Lincoln Middle School,17,2410,90,HUDSON,KEARNY TOWN,95
ROOSEVELT,17,2410,100,HUDSON,KEARNY TOWN,94
Schuyler Elementary School,17,2410,110,HUDSON,KEARNY TOWN,95
Washington Elementary School,17,2410,120,HUDSON,KEARNY TOWN,95
North Bergen High School,17,3610,50,HUDSON,NORTH BERGEN TWP,90
Franklin Elementary School,17,3610,60,HUDSON,NORTH BERGEN TWP,95
Horace Mann Elementary School,17,3610,70,HUDSON,NORTH BERGEN TWP,97
John F Kennedy Elementary School,17,3610,80,HUDSON,NORTH BERGEN TWP,96
Lincoln Elementary School,17,3610,90,HUDSON,NORTH BERGEN TWP,96
McKinley Elementary School,17,3610,100,HUDSON,NORTH BERGEN TWP,95
Robert Fulton Elementary School,17,3610,110,HUDSON,NORTH BERGEN TWP,96
SECAUCUS HIGH SCHOOL,17,4730,50,HUDSON,SECAUCUS TOWN,98
CLARENDON NO 4,17,4730,65,HUDSON,SECAUCUS TOWN,98
HUBER ST NO 3,17,4730,70,HUDSON,SECAUCUS TOWN,98
SECAUCUS MIDDLE SCHOOL,17,4730,80,HUDSON,SECAUCUS TOWN,98
Jose Marti Freshman Academy,17,5240,54,HUDSON,UNION CITY,96
Union City High School,17,5240,55,HUDSON,UNION CITY,97
Thomas A Edison Elementary School,17,5240,70,HUDSON,UNION CITY,96
Hudson Elementary School,17,5240,90,HUDSON,UNION CITY,98
Jefferson Elementary School,17,5240,100,HUDSON,UNION CITY,95
Emerson Middle School,17,5240,105,HUDSON,UNION CITY,97
Theodore Roosevelt Elementary School,17,5240,110,HUDSON,UNION CITY,97
Veterans' Memorial Elementary School,17,5240,118,HUDSON,UNION CITY,95
George Washington Elementary School,17,5240,120,HUDSON,UNION CITY,97
Robert Waters Elementary School,17,5240,130,HUDSON,UNION CITY,96
Woodrow Wilson Elementary School,17,5240,140,HUDSON,UNION CITY,97
Eugenio Maria de Hostos Center for Early Childhood Education,17,5240,145,HUDSON,UNION CITY,95
Union Hill Middle School,17,5240,150,HUDSON,UNION CITY,95
Colin Powell Elementary School,17,5240,300,HUDSON,UNION CITY,97
Weehawken High School,17,5580,50,HUDSON,WEEHAWKEN TWP,94
Daniel Webster School,17,5580,70,HUDSON,WEEHAWKEN TWP,94
Theodore Roosevelt School,17,5580,80,HUDSON,WEEHAWKEN TWP,94
Memorial High School,17,5670,50,HUDSON,WEST NEW YORK TOWN,97
Early Childhood School,17,5670,55,HUDSON,WEST NEW YORK TOWN,96
Public School Number One,17,5670,60,HUDSON,WEST NEW YORK TOWN,97
Public School Number Two,17,5670,65,HUDSON,WEST NEW YORK TOWN,97
Robert Menendez Elementary School,17,5670,70,HUDSON,WEST NEW YORK TOWN,97
Albio Sires Elementary School,17,5670,80,HUDSON,WEST NEW YORK TOWN,96
Public School Number Five,17,5670,90,HUDSON,WEST NEW YORK TOWN,97
Harry L Bain,17,5670,100,HUDSON,WEST NEW YORK TOWN,97
West New York Middle School,17,5670,110,HUDSON,WEST NEW YORK TOWN,96
Alexandria Middle School,19,20,5,HUNTERDON,ALEXANDRIA TWP,97
Lester D. Wilson Elementary School,19,20,10,HUNTERDON,ALEXANDRIA TWP,97
Ethel Hoppock Middle School,19,370,20,HUNTERDON,BETHLEHEM TWP,97
Thomas B. Conley Elementary School,19,370,70,HUNTERDON,BETHLEHEM TWP,97
Bloomsbury School,19,430,20,HUNTERDON,BLOOMSBURY BORO,97
Califon Elementary,19,670,30,HUNTERDON,CALIFON BORO,0
Clinton Public School,19,910,30,HUNTERDON,CLINTON TOWN,96
Spruce Run,19,920,30,HUNTERDON,CLINTON TWP,97
Patrick McGaheran,19,920,35,HUNTERDON,CLINTON TWP,96
Round Valley,19,920,40,HUNTERDON,CLINTON TWP,97
Clinton Township Middle School,19,920,50,HUNTERDON,CLINTON TWP,97
Delaware Township School,19,1040,40,HUNTERDON,DELAWARE TWP,96
DELAWARE VALLEY REGIONAL HIGH SCHOOL,19,1050,40,HUNTERDON,DELAWARE VALLEY REGIONAL,97
East Amwell Township,19,1160,50,HUNTERDON,EAST AMWELL TWP,95
STOCKTON BOROUGH SCHOOL,19,1376,10,HUNTERDON,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,98
LAMBERTVILLE PUBLIC SCHOOL,19,1376,20,HUNTERDON,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,98
WEST AMWELL TWP SCHOOL,19,1376,30,HUNTERDON,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,96
SOUTH HUNTERDON HIGH SCHOOL,19,1376,50,HUNTERDON,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,98
Barley Sheaf Elementary School,19,1510,30,HUNTERDON,FLEMINGTON-RARITAN REG,97
Copper Hill Elementary School,19,1510,33,HUNTERDON,FLEMINGTON-RARITAN REG,97
Francis A. Desmares Elementary School,19,1510,35,HUNTERDON,FLEMINGTON-RARITAN REG,97
Reading-Fleming Intermediate School,19,1510,40,HUNTERDON,FLEMINGTON-RARITAN REG,97
J.P. Case Middle School,19,1510,45,HUNTERDON,FLEMINGTON-RARITAN REG,96
Robert Hunter Elementary School,19,1510,50,HUNTERDON,FLEMINGTON-RARITAN REG,96
Franklin Township School,19,1600,50,HUNTERDON,FRANKLIN TWP,97
Frenchtown Elementary,19,1680,50,HUNTERDON,FRENCHTOWN BORO,96
HAMPTON BOROUGH SCHOOL,19,1970,50,HUNTERDON,HAMPTON BORO,96
HIGH BRIDGE MIDDLE SCHOOL,19,2140,55,HUNTERDON,HIGH BRIDGE BORO,97
HIGH BRIDGE ELEMENTARY SCHOOL,19,2140,60,HUNTERDON,HIGH BRIDGE BORO,96
Holland Township Elementary School,19,2220,60,HUNTERDON,HOLLAND TWP,90
Hunterdon Central Regional High School District,19,2300,50,HUNTERDON,HUNTERDON CENTRAL REG,97
Hunterdon Polytech Bartles Corner Campus,19,2308,30,HUNTERDON,HUNTERDON CO VOCATIONAL,0
Hunterdon County Vocational School District Central Campus,19,2308,50,HUNTERDON,HUNTERDON CO VOCATIONAL,0
HC Computer Science and Software Engineering Academy,19,2308,300,HUNTERDON,HUNTERDON CO VOCATIONAL,0
KINGWOOD TOWNSHIP SCHOOL,19,2450,50,HUNTERDON,KINGWOOD TWP,97
Lebanon Borough School,19,2590,50,HUNTERDON,LEBANON BORO,95
Woodglen School,19,2600,50,HUNTERDON,LEBANON TWP,97
Valley View School,19,2600,60,HUNTERDON,LEBANON TWP,97
Milford School,19,3180,50,HUNTERDON,MILFORD BORO,98
North Hunterdon High School,19,3660,50,HUNTERDON,N HUNT/VOORHEES REGIONAL,96
Voorhees High School,19,3660,60,HUNTERDON,N HUNT/VOORHEES REGIONAL,97
Holland Brook School,19,4350,30,HUNTERDON,READINGTON TWP,97
Readington Middle School,19,4350,50,HUNTERDON,READINGTON TWP,96
Three Bridges School,19,4350,60,HUNTERDON,READINGTON TWP,97
Whitehouse School,19,4350,70,HUNTERDON,READINGTON TWP,98
Old Turnpike School,19,5180,30,HUNTERDON,TEWKSBURY TWP,98
Tewksbury Elementary School,19,5180,55,HUNTERDON,TEWKSBURY TWP,97
Union Township Middle School,19,5270,50,HUNTERDON,UNION TWP,0
Union Township Elementary School,19,5270,60,HUNTERDON,UNION TWP,0
HIGHTSTOWN HIGH SCHOOL,21,1245,50,MERCER,EAST WINDSOR REGIONAL,98
ETHEL McKNIGHT ELEMENTARY SCHOOL,21,1245,55,MERCER,EAST WINDSOR REGIONAL,98
GRACE N. ROGERS ELEMENTARY SCHOOL,21,1245,60,MERCER,EAST WINDSOR REGIONAL,98
MELVIN H. KREPS MIDDLE SCHOOL,21,1245,70,MERCER,EAST WINDSOR REGIONAL,98
PERRY L. DREW ELEMENTARY SCHOOL,21,1245,75,MERCER,EAST WINDSOR REGIONAL,98
WALTER C. BLACK ELEMENTARY SCHOOL,21,1245,80,MERCER,EAST WINDSOR REGIONAL,98
Ewing High School,21,1430,50,MERCER,EWING TWP,97
GILMORE J FISHER MIDDLE,21,1430,60,MERCER,EWING TWP,97
FRANCIS LORE ELEMENTARY SCHOOL,21,1430,105,MERCER,EWING TWP,97
PARKWAY ELEMENTARY SCHOOL,21,1430,130,MERCER,EWING TWP,97
WL ANTHEIL ELEMENTARY SCHOOL,21,1430,140,MERCER,EWING TWP,97
HAMILTON EAST - STEINERT,21,1950,50,MERCER,HAMILTON TWP,97
HAMILTON NORTH-NOTTINGHAM,21,1950,55,MERCER,HAMILTON TWP,96
HAMILTON WEST-WATSON,21,1950,60,MERCER,HAMILTON TWP,96
ALBERT E GRICE MIDDLE SCHOOL,21,1950,70,MERCER,HAMILTON TWP,97
EMILY C REYNOLDS MIDDLE SCHOOL,21,1950,80,MERCER,HAMILTON TWP,97
RICHARD C CROCKETT MIDDLE SCHOOL,21,1950,83,MERCER,HAMILTON TWP,97
ALEXANDER ELEMENTARY SCHOOL,21,1950,85,MERCER,HAMILTON TWP,96
GEORGE E. WILSON ELEMENTARY SCHOOL,21,1950,105,MERCER,HAMILTON TWP,96
GREENWOOD ELEMENTARY SCHOOL,21,1950,110,MERCER,HAMILTON TWP,96
KISTHARDT ELEMENTARY SCHOOL,21,1950,150,MERCER,HAMILTON TWP,96
KLOCKNER ELEMENTARY SCHOOL,21,1950,160,MERCER,HAMILTON TWP,97
KUSER ELEMENTARY SCHOOL,21,1950,170,MERCER,HAMILTON TWP,97
LALOR ELEMENTARY SCHOOL,21,1950,180,MERCER,HAMILTON TWP,97
LANGTREE ELEMENTARY SCHOOL,21,1950,185,MERCER,HAMILTON TWP,97
McGALLIARD ELEMENTARY SCHOOL,21,1950,200,MERCER,HAMILTON TWP,96
MERCERVILLE ELEMENTARY SCHOOL,21,1950,210,MERCER,HAMILTON TWP,97
MORGAN ELEMENTARY SCHOOL,21,1950,220,MERCER,HAMILTON TWP,97
ROBINSON ELEMENTARY SCHOOL,21,1950,225,MERCER,HAMILTON TWP,87
SAYEN ELEMENTARY SCHOOL,21,1950,240,MERCER,HAMILTON TWP,96
SUNNYBRAE ELEMENTARY SCHOOL,21,1950,245,MERCER,HAMILTON TWP,97
UNIVERSITY HEIGHTS ELEMENTARY SCHOOL,21,1950,250,MERCER,HAMILTON TWP,97
YARDVILLE ELEMENTARY SCHOOL,21,1950,260,MERCER,HAMILTON TWP,98
YARDVILLE HEIGHTS ELEMENTARY SCHOOL,21,1950,270,MERCER,HAMILTON TWP,97
Hopewell Valley Central High School,21,2280,30,MERCER,HOPEWELL VALLEY REGIONAL,97
Bear Tavern Elementary School,21,2280,35,MERCER,HOPEWELL VALLEY REGIONAL,97
Toll Gate Grammar School,21,2280,40,MERCER,HOPEWELL VALLEY REGIONAL,97
Hopewell Elementary School,21,2280,55,MERCER,HOPEWELL VALLEY REGIONAL,97
Stony Brook Elementary School,21,2280,65,MERCER,HOPEWELL VALLEY REGIONAL,97
Timberlane Middle School,21,2280,75,MERCER,HOPEWELL VALLEY REGIONAL,97
Lawrence High School,21,2580,40,MERCER,LAWRENCE TWP,96
Lawrence Middle School,21,2580,50,MERCER,LAWRENCE TWP,96
Ben Franklin Elementary,21,2580,70,MERCER,LAWRENCE TWP,96
Eldridge Park School,21,2580,80,MERCER,LAWRENCE TWP,97
Lawrence Intermediate School,21,2580,85,MERCER,LAWRENCE TWP,96
Lawrenceville Elementary School,21,2580,90,MERCER,LAWRENCE TWP,95
Slackwood Elementary School,21,2580,100,MERCER,LAWRENCE TWP,97
Regional Day School,21,3103,5,MERCER,MERCER CO SPECIAL SERVICES SCHOOL DISTRICT,94
Joseph F. Cappello School,21,3103,50,MERCER,MERCER CO SPECIAL SERVICE,94
Mercer High School,21,3103,55,MERCER,MERCER CO SPECIAL SERVICE,95
Mercer Elementary School,21,3103,70,MERCER,MERCER CO SPECIAL SERVICE,94
MCVS Assunpink Center,21,3105,30,MERCER,MERCER COUNTY VOCATIONAL,96
MCVS Arthur R. Sypek Center,21,3105,40,MERCER,MERCER COUNTY VOCATIONAL,97
Health Science Academy,21,3105,301,MERCER,MERCER COUNTY VOCATIONAL,97
Princeton High School,21,4255,50,MERCER,PRINCETON REGIONAL,98
Johnson Park School,21,4255,70,MERCER,PRINCETON REGIONAL,98
Littlebrook School,21,4255,80,MERCER,PRINCETON REGIONAL,98
John Witherspoon Middle School,21,4255,85,MERCER,PRINCETON REGIONAL,98
Riverside School,21,4255,90,MERCER,PRINCETON REGIONAL,98
Community Park School,21,4255,110,MERCER,PRINCETON REGIONAL,98
Daylight/Twilight High School,21,5210,30,MERCER,TRENTON CITY,87
Trenton Central High School - Main Campus,21,5210,50,MERCER,TRENTON CITY,91
Trenton Central High School - West Campus,21,5210,51,MERCER,TRENTON CITY,89
Paul S. Robeson Elementary School,21,5210,80,MERCER,TRENTON PUBLIC SCHOOL DISTRICT,89
Dunn Middle School,21,5210,100,MERCER,TRENTON CITY,94
Columbus Elementary School,21,5210,170,MERCER,TRENTON CITY,91
Franklin Elementary School,21,5210,190,MERCER,TRENTON CITY,88
Grant Elementary School,21,5210,200,MERCER,TRENTON CITY,91
Gregory Elementary School,21,5210,210,MERCER,TRENTON CITY,90
Jefferson Elementary School,21,5210,230,MERCER,TRENTON CITY,87
Joyce Kilmer Middle School,21,5210,235,MERCER,TRENTON CITY,92
LUIS MUNOZ-RIVERA MS,21,5210,240,MERCER,TRENTON PUBLIC SCHOOL DISTRICT,91
Mott Elementary School,21,5210,260,MERCER,TRENTON CITY,93
P.J. Hill Elementary,21,5210,265,MERCER,TRENTON CITY,94
Parker Elementary,21,5210,270,MERCER,TRENTON CITY,90
Robbins Elementary School,21,5210,280,MERCER,TRENTON CITY,93
Washington Elementary School,21,5210,300,MERCER,TRENTON CITY,91
Hedgepeth Williams Middle School,21,5210,301,MERCER,TRENTON CITY,92
Stokes Early Childhood Center,21,5210,302,MERCER,TRENTON CITY,92
Wilson Elementary School,21,5210,310,MERCER,TRENTON CITY,90
Martin Luther King Jr. Elementary School,21,5210,401,MERCER,TRENTON CITY,91
Robbinsville High School,21,5510,30,MERCER,ROBBINSVILLE TWP,98
Pond Road Middle School,21,5510,40,MERCER,ROBBINSVILLE TWP,98
Sharon School,21,5510,50,MERCER,ROBBINSVILLE TWP,97
West Windsor-Plainsboro High School South,21,5715,20,MERCER,W WINDSOR-PLAINSBORO REG,100
West Windsor-Plainsboro High School North,21,5715,25,MERCER,W WINDSOR-PLAINSBORO REG,100
DUTCH NECK ELEMENTARY SCHOOL,21,5715,30,MERCER,W WINDSOR-PLAINSBORO REG,100
Thomas R Grover Middle School,21,5715,35,MERCER,W WINDSOR-PLAINSBORO REG,100
Maurice Hawk Elementary School,21,5715,40,MERCER,W WINDSOR-PLAINSBORO REG,100
J.V.B. WICOFF ELEMENTARY SCHOOL,21,5715,50,MERCER,W WINDSOR-PLAINSBORO REG,100
TOWN CENTER ELEMENTARY SCHOOL AT PLAINSBORO,21,5715,130,MERCER,W WINDSOR-PLAINSBORO REG,100
Community Middle School,21,5715,140,MERCER,W WINDSOR-PLAINSBORO REG,100
Millstone River School,21,5715,150,MERCER,W WINDSOR-PLAINSBORO REG,100
Village Elementary School,21,5715,160,MERCER,W WINDSOR-PLAINSBORO REG,100
Carteret High School,23,750,30,MIDDLESEX,CARTERET BORO,96
Columbus Elementary School,23,750,50,MIDDLESEX,CARTERET BORO,97
Carteret Middle School,23,750,55,MIDDLESEX,CARTERET BORO,96
Private Nicholas Minue Elementary School,23,750,57,MIDDLESEX,CARTERET BORO,97
Nathan Hale Elementary School,23,750,60,MIDDLESEX,CARTERET BORO,97
Cranbury School,23,970,30,MIDDLESEX,CRANBURY TWP,98
Dunellen High School,23,1140,40,MIDDLESEX,DUNELLEN BORO,97
JOHN P. FABER ELEMENTARY SCHOOL,23,1140,50,MIDDLESEX,DUNELLEN BORO,97
Lincoln Middle School,23,1140,60,MIDDLESEX,DUNELLEN BORO,98
East Brunswick High School,23,1170,50,MIDDLESEX,EAST BRUNSWICK TWP,97
Churchill Jr High School,23,1170,55,MIDDLESEX,EAST BRUNSWICK TWP,98
Hammarskjold Middle School,23,1170,56,MIDDLESEX,EAST BRUNSWICK TWP,97
Bowne-Munro Elementary School,23,1170,60,MIDDLESEX,EAST BRUNSWICK TWP,94
Central Elementary School,23,1170,70,MIDDLESEX,EAST BRUNSWICK TWP,98
Irwin Elementary School,23,1170,90,MIDDLESEX,EAST BRUNSWICK TWP,98
Lawrence Brook Elementary School,23,1170,100,MIDDLESEX,EAST BRUNSWICK TWP,98
Memorial Elementary School,23,1170,120,MIDDLESEX,EAST BRUNSWICK TWP,95
Chittick Elementary School,23,1170,125,MIDDLESEX,EAST BRUNSWICK TWP,97
Frost Elementary School,23,1170,130,MIDDLESEX,EAST BRUNSWICK TWP,98
Warnsdorfer Elementary School,23,1170,138,MIDDLESEX,EAST BRUNSWICK TWP,98
Edison High School,23,1290,50,MIDDLESEX,EDISON TWP,97
John P. Stevens High School,23,1290,53,MIDDLESEX,EDISON TWP,97
John Adams Middle School,23,1290,55,MIDDLESEX,EDISON TWP,97
Herbert Hoover Middle School,23,1290,57,MIDDLESEX,EDISON TWP,96
Thomas Jefferson Middle School,23,1290,60,MIDDLESEX,EDISON TWP,97
Woodrow Wilson Middle School,23,1290,63,MIDDLESEX,EDISON TWP,97
Benjamin Franklin Elementary School,23,1290,65,MIDDLESEX,EDISON TWP,97
James Madison Intermediate School,23,1290,90,MIDDLESEX,EDISON TWP,96
James Madison Primary School,23,1290,92,MIDDLESEX,EDISON TWP,97
James Monroe Elementary School,23,1290,93,MIDDLESEX,EDISON TWP,97
John Marshall Elementary School,23,1290,95,MIDDLESEX,EDISON TWP,97
Lincoln Elementary School,23,1290,100,MIDDLESEX,EDISON TWP,97
Lindeneau Elementary School,23,1290,103,MIDDLESEX,EDISON TWP,97
Martin Luther King Elementary School,23,1290,104,MIDDLESEX,EDISON TWP,97
Menlo Park Elementary School,23,1290,105,MIDDLESEX,EDISON TWP,97
Washington Elementary School,23,1290,150,MIDDLESEX,EDISON TWP,97
Woodbrook Elementary School,23,1290,160,MIDDLESEX,EDISON TWP,96
Edison Early Learning Center,23,1290,300,MIDDLESEX,EDISON TWP,98
Franklin D Roosevelt School,23,1290,302,MIDDLESEX,EDISON TWP,97
HIGHLAND PARK HIGH SCHOOL,23,2150,50,MIDDLESEX,HIGHLAND PARK BORO,97
HIGHLAND PARK MIDDLE SCHOOL,23,2150,60,MIDDLESEX,HIGHLAND PARK BORO,96
IRVING PRIMARY SCHOOL,23,2150,70,MIDDLESEX,HIGHLAND PARK BORO,96
BARTLE ELEMENTARY SCHOOL,23,2150,85,MIDDLESEX,HIGHLAND PARK BORO,97
GRACE M. BRECKWEDEL MIDDLE SCHOOL,23,2370,75,MIDDLESEX,JAMESBURG BORO,97
JOHN F. KENNEDY ELEMENTARY SCHOOL,23,2370,80,MIDDLESEX,JAMESBURG BORO,98
Metuchen High School,23,3120,50,MIDDLESEX,METUCHEN BORO,97
Campbell Elementary School,23,3120,60,MIDDLESEX,METUCHEN BORO,98
Edgar Middle School,23,3120,70,MIDDLESEX,METUCHEN BORO,98
Mildred B. Moss Elementary School,23,3120,90,MIDDLESEX,METUCHEN BORO,96
Middlesex High School,23,3140,50,MIDDLESEX,MIDDLESEX BORO,97
HAZELWOOD ELEMENTARY SCHOOL,23,3140,65,MIDDLESEX,MIDDLESEX BORO,98
PARKER ELEMENTARY SCHOOL,23,3140,70,MIDDLESEX,MIDDLESEX BORO,97
VON E MAUGER MIDDLE SCHOOL,23,3140,85,MIDDLESEX,MIDDLESEX BORO,97
WATCHUNG ELEMENTARY SCHOOL,23,3140,90,MIDDLESEX,MIDDLESEX BORO,95
Middlesex County Voc Academy Math Science &Engineering Techn,23,3150,10,MIDDLESEX,MIDDLESEX CO VOCATIONAL,89
Middlesex County Vocational School  East  Brunswick,23,3150,40,MIDDLESEX,MIDDLESEX CO VOCATIONAL,96
Middlesex County Vocational School Perth Amboy,23,3150,60,MIDDLESEX,MIDDLESEX CO VOCATIONAL,94
Middlesex County Vocational School Piscataway,23,3150,65,MIDDLESEX,MIDDLESEX CO VOCATIONAL,94
Middlesex County Voc Acad Allied Health & Biomedical Science,23,3150,70,MIDDLESEX,MIDDLESEX CO VOCATIONAL,96
Middlesex Co Voc School Piscataway School of Career Develop,23,3150,300,MIDDLESEX,MIDDLESEX CO VOCATIONAL,97
Middlesex Co Voc School East Bruns. School of Career Develop,23,3150,301,MIDDLESEX,MIDDLESEX CO VOCATIONAL,96
Joyce Kilmer School,23,3220,50,MIDDLESEX,MILLTOWN BORO,96
Parkview  School,23,3220,60,MIDDLESEX,MILLTOWN BORO,97
Monroe Township High School,23,3290,5,MIDDLESEX,MONROE TWP,96
Barclay Brook School,23,3290,10,MIDDLESEX,MONROE TWP,97
MONROE TWP MIDDLE SCHOOL,23,3290,20,MIDDLESEX,MONROE TWP,91
WOODLAND ELEMENTARY SCHOOL,23,3290,30,MIDDLESEX,MONROE TWP,96
MILL LAKE SCHOOL,23,3290,40,MIDDLESEX,MONROE TWP,98
Brookside Elementary School,23,3290,50,MIDDLESEX,MONROE TWP,97
Oak Tree Elementary School,23,3290,60,MIDDLESEX,MONROE TWP,98
Applegarth Elementary School,23,3290,300,MIDDLESEX,MONROE TWP,98
New Brunswick High School,23,3530,50,MIDDLESEX,NEW BRUNSWICK CITY,97
